id,last,first,team,years,extra
stail001,Staiger,Lisa,macalester,2001,
chri-001,Christenson*,,st-olaf,2002,
biscb001,Bisciglia,Beth,hamline,2001,
mantk001,Manty,Kiija,macalester,2001,
meisk001,Meister,Kristin,minn-morris,2001,
pitl-001,Pitlik,,cornell-college,2002,
horne001,Horne,Erin,hamline,2001,
kassr001,Kassulke,Rachel,martin-luther,2002,
givej001,Givens,Jami,neb-wesleyan,2002,
sokoa001,Sokol,Anna,macalester,2001|2002,
utecg001,Utecht,Gina,st-thomas-mn,2001|2002,
thome001,Thomas,Erin,simon-fraser,2002,
schia001,Schindeldecker,Amanda,concordia-m'head,2001,
haaln001,Haala,Natalia,st-thomas-mn,2001|2002,
9----001,9,,northwestern-stpaul,2001,
layee001,Layer,Emily,minn-morris,2001,
2----001,2,,northwestern-stpaul,2001,
stodk001,Stodolka,Kate,st-catherine,2001,
colsr001,Colson,Rachel,st-olaf,2001,
weis-001,Weis,,st-benedict,2001|2002,
gessb001,Gessler,Beth,hamline,2001,
richm001,Richards,Michelle,st-olaf,2001,
tessa001,Tessar,Andrea,gust-adolphus,2001,
zahnj001,Zahn,Jamie,martin-luther,2002,
honna001,Honnette,Alyssa,carleton,2001,
seifa001,Seifert,Alisha,macalester,2002,
worm-001,Worm,,st-benedict,2001|2002,
rickk001,Rick,Kendra,st-olaf,2001,
biehm001,Biehn,Molly,gust-adolphus,2001,
fredk001,Frederick,Kelly,st-olaf,2001,
fors-001,Forsberg,,st-olaf,2002,
hilgb001,Hilgert,Becky,st-thomas-mn,2001|2002,
wagek001,Wager,Kara,bethel-mn,2001,
beckj001,Beckman,Jen,st-thomas-mn,2001,
hudse001,Hudson,Erika,northwestern-stpaul,2002,
beacc001,Beach,Cristin,macalester,2001|2002,
beeda001,Beedle,Alicia,northwestern-stpaul,2002,
hell-001,Heller,,dana,2002,
kras-001,Kraszewski,,saint-marys-mn,2001,
jonec001,Jones,Cara,carleton,2001,
stewb001,Steward,Beth,bethel-mn,2001,
tunnt001,Tunney,Tallerita,macalester,2002,
mcca-001,McCabe,,st-benedict,2001,
milll001,Miller,Lindsay,hamline,2001,
mckia001,McKinley,Alex,st-olaf,2001,
hoodl001,Hood,Leah,macalester,2002,
stohh001,Stohs,Heather,concordia-m'head,2001,
thom-001,Thomas,,st-olaf,2002,
urba-001,Urbanski,,st-olaf,2002,
bate-001,Batey,,pacific-or,2002,
klin-001,Klingaman,,cornell-college,2002,
decrj001,DeCrans,Joan,st-catherine,2001|2002,
cursc001,Curson,Casey,st-thomas-mn,2001,
mame-001,Mamer,,saint-marys-mn,2002,
wynnk001,Wynn,Krista,minn-morris,2001,
nguyl001,Nguyen,Ly,carleton,2001,
molie001,Moline,Erin,northwestern-stpaul,2002,
kron-001,Kronschnabel,,augsburg,2001,
twee-001,Tweeten,,augsburg,2001,
youn-001,Young,,pacific-or,2002,
